# field,g_lim,i_lim
3.880000000000000000e+02,2.601688575744628906e+01,2.476639175415039062e+01
3.890000000000000000e+02,2.586616134643554688e+01,2.482015609741210938e+01
3.900000000000000000e+02,2.614401817321777344e+01,2.452663803100585938e+01
3.910000000000000000e+02,2.613005447387695312e+01,2.467267990112304688e+01
3.920000000000000000e+02,2.587304496765136719e+01,2.482356643676757812e+01
3.930000000000000000e+02,2.586073684692382812e+01,2.480242347717285156e+01
3.940000000000000000e+02,2.607535171508789062e+01,2.452790641784667969e+01
3.950000000000000000e+02,2.593352127075195312e+01,2.451407623291015625e+01
3.960000000000000000e+02,2.587988281250000000e+01,2.472060775756835938e+01
3.970000000000000000e+02,2.595794677734375000e+01,2.498501777648925781e+01
3.980000000000000000e+02,2.588144111633300781e+01,2.462489318847656250e+01
3.990000000000000000e+02,2.617385101318359375e+01,2.482899856567382812e+01
4.000000000000000000e+02,2.602728652954101562e+01,2.464989280700683594e+01
4.010000000000000000e+02,2.601507377624511719e+01,2.456643676757812500e+01
4.020000000000000000e+02,2.598966407775878906e+01,2.459889221191406250e+01
4.030000000000000000e+02,2.605728721618652344e+01,2.513831138610839844e+01
4.040000000000000000e+02,2.600421142578125000e+01,2.473640632629394531e+01
4.050000000000000000e+02,2.610810661315917969e+01,2.457385826110839844e+01
4.060000000000000000e+02,2.606490898132324219e+01,2.520188140869140625e+01
