# field,g_lim,i_lim
2.590000000000000000e+02,2.624204254150390625e+01,2.498286628723144531e+01
2.600000000000000000e+02,2.596106529235839844e+01,2.478727340698242188e+01
2.610000000000000000e+02,2.608550071716308594e+01,2.497990608215332031e+01
2.620000000000000000e+02,2.590358161926269531e+01,2.488266181945800781e+01
2.630000000000000000e+02,2.599232864379882812e+01,2.482867431640625000e+01
2.640000000000000000e+02,2.603504943847656250e+01,2.507901382446289062e+01
2.650000000000000000e+02,2.573166084289550781e+01,2.474678802490234375e+01
2.660000000000000000e+02,2.501108932495117188e+01,2.406571578979492188e+01
2.670000000000000000e+02,2.601214218139648438e+01,2.485611534118652344e+01
2.680000000000000000e+02,2.617729759216308594e+01,2.492634582519531250e+01
2.690000000000000000e+02,2.601528549194335938e+01,2.476443862915039062e+01
2.700000000000000000e+02,2.605952835083007812e+01,2.495049476623535156e+01
2.710000000000000000e+02,2.599385070800781250e+01,2.499187088012695312e+01
2.720000000000000000e+02,2.603471565246582031e+01,2.491827392578125000e+01
2.730000000000000000e+02,2.612535476684570312e+01,2.491587829589843750e+01
2.740000000000000000e+02,2.601912879943847656e+01,2.483001899719238281e+01
2.750000000000000000e+02,2.626043128967285156e+01,2.492942047119140625e+01
2.760000000000000000e+02,2.603313636779785156e+01,2.508314704895019531e+01
2.770000000000000000e+02,2.609837913513183594e+01,2.515217208862304688e+01
2.780000000000000000e+02,2.616223716735839844e+01,2.491400337219238281e+01
2.790000000000000000e+02,2.576487159729003906e+01,2.494220161437988281e+01
2.800000000000000000e+02,2.602366828918457031e+01,2.492525672912597656e+01
2.810000000000000000e+02,2.644038009643554688e+01,2.493643951416015625e+01
2.820000000000000000e+02,2.583921051025390625e+01,2.496862983703613281e+01
2.830000000000000000e+02,2.598456764221191406e+01,2.493007087707519531e+01
2.840000000000000000e+02,2.634910392761230469e+01,2.484654235839843750e+01
2.850000000000000000e+02,2.588331413269042969e+01,2.446001625061035156e+01
2.860000000000000000e+02,2.607608795166015625e+01,2.509260368347167969e+01
2.870000000000000000e+02,2.619838333129882812e+01,2.499992942810058594e+01
2.880000000000000000e+02,2.622362518310546875e+01,2.483863449096679688e+01
2.890000000000000000e+02,2.618200492858886719e+01,2.481949996948242188e+01
2.900000000000000000e+02,2.617527008056640625e+01,2.496973609924316406e+01
2.910000000000000000e+02,2.628060531616210938e+01,2.481369590759277344e+01
2.920000000000000000e+02,2.601865196228027344e+01,2.490123176574707031e+01
2.930000000000000000e+02,2.630551338195800781e+01,2.475014495849609375e+01
2.940000000000000000e+02,2.589688301086425781e+01,2.466017913818359375e+01
2.950000000000000000e+02,2.616720962524414062e+01,2.461135101318359375e+01
2.960000000000000000e+02,2.617375755310058594e+01,2.495539665222167969e+01
2.970000000000000000e+02,2.592970085144042969e+01,2.488298797607421875e+01
2.980000000000000000e+02,2.624263763427734375e+01,2.488040161132812500e+01
2.990000000000000000e+02,2.644200325012207031e+01,2.474641609191894531e+01
3.000000000000000000e+02,2.642694854736328125e+01,2.492634010314941406e+01
